state_code,household_size,household_weight,household_agi,employment_income,fed_income_tax,ca_income_tax,filing_status,is_married_couple,size_bucket,consumption_allowance,rebate_after_phaseout,excess_over_threshold,allowance_no_phaseout,allowance_phaseout
CA,8,5.215231,152171.345703125,138783.33389282227,6034.72900390625,1653.956298828125,mfj,1,7,54860.0,26238.79974726562,52171.345703125,54860.0,26238.79974726562
CA,2,2.5522776,302999.625,73333.3359375,42056.97265625,15025.66796875,mfj,1,2,29160.0,0.0,202999.625,29160.0,0.0
CA,6,37945.734,181453.34204101562,122571.42944335938,16693.070068359375,5307.307220458984,mfj,1,6,49720.0,9221.398337207034,81453.34204101562,49720.0,9221.398337207034
CA,1,628.24164,89885.359375,0.0,11583.796875,4245.48046875,single,0,1,14580.0,2949.4292062499994,39885.359375,14580.0,2949.4292062499994
CA,2,266.03036,256945.953125,104761.90625,40261.26171875,10041.6005859375,mfj,1,2,29160.0,0.0,156945.953125,29160.0,0.0
CA,1,4155.813,36666.66796875,36666.66796875,2416.000244140625,421.5267333984375,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,2,115.90024,119539.1171875,104761.90625,8619.2060546875,3374.6669921875,mfj,1,2,29160.0,23462.393428125,19539.1171875,29160.0,23462.393428125
CA,2,261.91617,220355.296875,0.0,28556.50390625,10354.546875,mfj,1,2,29160.0,0.0,120355.296875,29160.0,0.0
CA,2,87.25922,85777.6171875,89047.6171875,5412.07568359375,1329.70703125,single,0,2,19720.0,5609.3077812500005,35777.6171875,19720.0,5609.3077812500005
CA,2,5.03506,247406.28125,240952.375,38454.015625,13101.2275390625,mfj,1,2,29160.0,0.0,147406.28125,29160.0,0.0
CA,1,145505.95,487807.0625,298571.4375,135609.40625,43147.98046875,single,0,1,14580.0,0.0,437807.0625,14580.0,0.0
CA,3,855.86224,34777.00927734375,29333.333984375,1492.800048828125,189.45266723632812,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,5,271111.06,27238.095703125,27238.095703125,-1700.0,-206.11656188964844,mfj,1,5,44580.0,44580.0,0.0,44580.0,44580.0
CA,4,0.53066623,44665.9143371582,15714.2861328125,1270.491455078125,-149.97166442871094,mfj,1,4,39440.0,39440.0,0.0,39440.0,39440.0
CA,1,82079.26,242999.265625,240952.375,50696.70703125,18516.943359375,single,0,1,14580.0,0.0,192999.265625,14580.0,0.0
CA,3,402.579,235904.890625,104761.90625,28190.935546875,12411.3564453125,mfj,1,3,34300.0,0.0,135904.890625,34300.0,0.0
CA,3,0.7561912,84776.125,84857.14208984375,4221.135009765625,458.9390869140625,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
